"","pageTitle","source","medium","defaultChannelGroup","donate_pageview"
"1163","Moving China beyond Coal: At Home and Abroad - RMI","bing","organic","Organic Search",0
"1164","Moving India’s Goods without Emissions - RMI","google","organic","Organic Search",0
"1165","Moving to a World Powered by Renewables - RMI","google","organic","Organic Search",0
"1166","Möjligheter - RMI","nyassembly.gov","referral","Referral",0
"1167","NITI Aayog - RMI","google","organic","Organic Search",0
"1168","NMB Bank Headquarters: The Impressive Performance of a Green Building - RMI","google","organic","Organic Search",0
"1169","NRG Doubles Down on Distributed Generation - RMI","google","organic","Organic Search",0
"1170","NY Change Lab - RMI","google","organic","Organic Search",0
"1171","NY Lab Initiatives - RMI","google","organic","Organic Search",0
"1172","Nag Rao Is Changing America’s Landscape - RMI","(direct)","(none)","Direct",0
"1173","Narrowing the Solar Equity Gap through Solarize - RMI","(direct)","(none)","Direct",0
"1174","Natalie Janzow - RMI","google","organic","Organic Search",0
"1175","Nathan Iyer - RMI","google","organic","Organic Search",0
"1176","Native Energy: From Fossil Fuels Below to Renewables Above - RMI","google","organic","Organic Search",0
"1177","Native Energy: Rural Electrification on Tribal Lands - RMI","(direct)","(none)","Direct",0
"1178","Natural Capitalism (Summary from Apertura Magazine) - RMI","google","organic","Organic Search",0
"1179","Natural Capitalism: Chapter 1 - The Next Industrial Revolution (original) - RMI","google","organic","Organic Search",0
"1180","Natural Capitalism: Chapter 14 - Human Capitalism (original) - RMI","google","organic","Organic Search",0
"1181","Natural Capitalism: Chapter 15 - Once Upon a Planet (original) - RMI","google","organic","Organic Search",0
"1182","Natural Capitalism: Chapter 2 - Reinventing the Wheels (original) - RMI","google","organic","Organic Search",0
"1183","Natural Capitalism: Chapter 3 - Waste Not (original) - RMI","google","organic","Organic Search",0
"1184","Natural Capitalism: Chapter 4 - Making the World (original) - RMI","google","organic","Organic Search",0
"1185","Natural Capitalism: Chapter 5 - Building Blocks (original) - RMI","google","organic","Organic Search",0
"1186","Natural Capitalism: Chapter 6 - Tunneling Through the Cost Barrier (original) - RMI","(direct)","(none)","Direct",0
"1187","Navigating Utility Business Model Reform - RMI","(direct)","(none)","Direct",0
"1188","Navigating the Financial Industry’s Blurred Lines Between Climate Commitments and Greenwash - RMI","bing","organic","Organic Search",0
"1189","Nayo Tropical Technology, LTD - RMI","google","organic","Organic Search",0
"1190","Ned Harvey - RMI","google","organic","Organic Search",0
"1191","Need Help Advancing Local Climate Action? Try Community Project Funding. - RMI","(direct)","(none)","Direct",0
"1192","Need for Advanced Chemistry Cell Energy Storage in India - RMI","bing","organic","Organic Search",0
"1193","Negawatt Revolution - RMI","(direct)","(none)","Direct",0
"1194","Negawatts for Fabs: Advanced Energy Productivity for Fun and Profit - RMI","google","organic","Organic Search",0
"1195","Negawatts: Twelve Transitions, Eight Improvements, and One Distraction - RMI","(direct)","(none)","Direct",0
"1196","Net Energy Metering, Zero Net Energy, and the Distributed Energy Resource Future - RMI","(direct)","(none)","Direct",0
"1197","Net Zero by 2050 Is Achievable, Affordable, and Will Improve Lives - RMI","google","organic","Organic Search",0
"1198","Net-Zero Carbon Buildings, Districts, and Portfolios - RMI","google","organic","Organic Search",0
"1199","Net-Zero Energy Buildings: Three career paths for students to revolutionize the built environment and decarbonize the energy sector - RMI","google","organic","Organic Search",0
"1200","Net-Zero Energy Leasing - RMI","(direct)","(none)","Direct",0
"1201","New Business Models for the Distribution Edge (eLab New Business Models Report) - RMI","bing","organic","Organic Search",0
"1202","New Calculator Shows How Highway Expansion Fails to Reduce Congestion and Instead Increases Traffic and Pollution - RMI","google","organic","Organic Search",0
"1203","New Climate Law Stretches Massachusetts Building Codes to the Next Level - RMI","bing","organic","Organic Search",0
"1204","New Collective Quantified Goal (NCQG) Process: Are We Asking the Right Questions? - RMI","bing","organic","Organic Search",0
"1205","New Deloitte and RMI Collaboration Seeks to Accelerate Systems Transformation to Help Address Climate Change - RMI","ecosia.org","organic","Organic Search",0
"1206","New Facebook, Google, GM and Walmart-led industry group launched, targeting 60 gigawatts of corporate renewables by 2025 - RMI","google","organic","Organic Search",0
"1207","New Global Coalition of Tech, Climate Groups Will Combine AI and Satellites to Monitor GHG Emissions Worldwide in Real Time - RMI","(direct)","(none)","Direct",0
"1208","New Initiative Unveiled to Expedite Transition of Coal Plants Globally at UN Climate Change Conference - RMI","google","organic","Organic Search",0
"1209","New Initiative launched at Davos to Decarbonize Mineral and Industrial Supply Chains - RMI","ccsi.columbia.edu","referral","Referral",0
"1210","New Jersey Charts a Practical, Affordable Course to a Decarbonized Economy - RMI","(direct)","(none)","Direct",0
"1211","New Jersey Just Announced Big Climate Actions. How Far Do They Go? - RMI","(direct)","(none)","Direct",0
"1212","New Lives for Old Mines: A Method for Developing Renewable Energy at Closed Mine Sites - RMI","google","organic","Organic Search",0
"1213","New Model for Boosting Energy Resilience in Puerto Rico﻿ - RMI","bing","organic","Organic Search",0
"1214","New Normal - RMI","google","cpc","Paid Search",0
"1215","New Power Plant Standards Preserve Reliable, Affordable Electricity - RMI","(direct)","(none)","Direct",0
"1216","New Report Suggests the Speed of the Energy Transition Is Rapid - RMI","google","organic","Organic Search",0
"1217","New Resources for Cities to Unlock Housing Improvements - RMI","google","organic","Organic Search",0
"1218","New Scorecards Show Climate Progress of Six Front-Runner States - RMI","bing","organic","Organic Search",0
"1219","New White House ‘Buy Clean’ Guidance Targets Huge Emissions Hidden in Building Materials - RMI","(direct)","(none)","Direct",0
"1220","New York Emits More Building Air Pollution Than Any Other State - RMI","google","organic","Organic Search",0
"1221","New York Public Housing Commits to Electrification and Decarbonization - RMI","bing","organic","Organic Search",0
"1222","New York Set to Pioneer a Move to New All-Electric Buildings - RMI","(direct)","(none)","Direct",0
"1223","New York’s Next Steps in the REV-olution - RMI","google","organic","Organic Search",0
"1224","New Zero-Energy Homes Almost to Cost Parity, While Codes & Incentives Help Cross the Finish Line - RMI","google","organic","Organic Search",0
"1225","News Archive - RMI","google","organic","Organic Search",0
"1226","News – Page 2 – RMI","google","organic","Organic Search",0
"1227","News – RMI","google","organic","Organic Search",0
"1228","Newtonian Shift - RMI","google","organic","Organic Search",0
"1229","Next Stop for Climate Action: Making Emissions Visible and Pricing Them - RMI","comms","email","Email",0
"1230","Nicholas Bobst - RMI","google","organic","Organic Search",0
"1231","Nick Jiles - RMI","google","organic","Organic Search",0
"1232","Nicole Labutong - RMI","google","organic","Organic Search",0
"1233","Nicole Tilley - RMI","google","organic","Organic Search",0
"1234","Nigeria’s First Commercial Undergrid Minigrid Project - RMI","(direct)","(none)","Direct",0
"1235","Nigeria’s Power Sector Is Struggling — Collaborative Business Models for Distributed Energy Resources Can Help - RMI","google","organic","Organic Search",0
"1236","No More One-Size-Fits-All Approach to State Climate Targets - RMI","fall-appeal","email","Email",0
"1237","No Time to Waste: Mitigating Methane Emissions from Waste - RMI","bing","organic","Organic Search",0
"1238","Nocona Sanders - RMI","spark","email","Email",0
"1239","North American Council for Freight Efficiency (NACFE) - RMI","(direct)","(none)","Direct",0
"1240","Northwestern China Power System Decarbonization: Moving toward Zero-Carbon in Qinghai Province - RMI","google","organic","Organic Search",0
"1241","Nosso Impacto - RMI","br.search.yahoo.com","referral","Organic Search",0
"1242","Not All Renewables Are Created Equal: Quantifying the Emissions Benefits of Institutional Renewable Energy Purchasing Options - RMI","google","organic","Organic Search",0
"1243","Now Is the Time to Go All In on Heat Pumps - RMI","(direct)","(none)","Direct",0
"1244","Now is the Time to Go All In on Heat Pumps - RMI","(direct)","(none)","Direct",0
"1245","Nuclear Follies - RMI","google","organic","Organic Search",0
"1246","Nuclear Nonsense - RMI","google","organic","Organic Search",0
"1247","Nuclear Power and Nuclear Bombs - RMI","(direct)","(none)","Direct",0
"1248","Nuclear Power's Competitive Landscape - RMI","google","cpc","Paid Search",0
"1249","Nuclear Power: Climate Fix or Folly? - RMI","google","organic","Organic Search",0
"1250","Nuclear Power: Competitive Economics and Climate Protection Potential - RMI","google","organic","Organic Search",0
"1251","Nuclear Socialism - RMI","google","organic","Organic Search",0
"1252","Nuclear Spread: The Cure Begins at Home - RMI","google","organic","Organic Search",0
"1253","Nuclear: Why even think about it? - RMI","duckduckgo","organic","Organic Search",0
"1254","Nueva York emite más contaminación del aire en edificios que cualquier otro estado - RMI","google","organic","Organic Search",0
"1255","OCI+ Update: Tackling Methane in the Oil and Gas Sector - RMI","(direct)","(none)","Direct",0
"1256","Objava izvješća: Elektrifikacija zgrada za dekarbonizaciju - RMI","(direct)","(none)","Direct",0
"1257","October 23 FERC Filing 2017 - RMI","ewg.org","referral","Referral",0
"1258","Oil & Gas Solutions Initiative - RMI","(direct)","(none)","Direct",0
"1259","Oil Price Benchmarks Are Missing One Thing: The Climate Cost - RMI","(direct)","(none)","Direct",0
"1260","Oil and Gas - RMI","google","organic","Organic Search",0
"1261","Oil and Gas Solutions Archives - Page 2 of 7 - RMI","trg-rpdwn","email","Email",0
"1262","Oil and Gas Solutions Archives - RMI","(direct)","(none)","Direct",0
"1263","Oil and gas companies are missing significant methane emissions. Here’s how to fix that. - RMI","(direct)","(none)","Direct",0
"1264","Oil-Free Transportation - RMI","ecosia.org","organic","Organic Search",0
"1265","Oil: Revenge Of The Negabarrels - RMI","google","organic","Organic Search",0
"1266","Olatunde Okeowo - RMI","facebook","social","Organic Social",0
"1267","Oleksiy Tatarenko - RMI","google","organic","Organic Search",0
"1268","Olivia Alves - RMI","google","organic","Organic Search",0
"1269","On Proliferation, Climate, and Oil: Solving for Pattern - RMI","(direct)","(none)","Direct",0
"1270","One Simple Tax Change Could Unlock Critical Clean Energy Infrastructure - RMI","google","organic","Organic Search",0
"1271","One Size Doesn’t Fit All - RMI","google","organic","Organic Search",0
"1272","Op-ed: Clean Energy Tipping Points - RMI","(direct)","(none)","Direct",0
"1273","Open Positions - RMI","(direct)","(none)","Direct",0
"1274","Open Procurement Opportunities - RMI","(direct)","(none)","Direct",0
"1275","Opening ﻿﻿China’s Green Hydrogen New Era - RMI","ar","email","Email",0
"1276","Oportunidades - RMI","(direct)","(none)","Direct",0
"1277","Oportunidades de adquisición abierta - RMI","(direct)","(none)","Direct",0
"1278","Opportunities - RMI","(direct)","(none)","Direct",0
"1279","Opportunities for Cleaner, More Efficient Freight Transport in India - RMI","google","organic","Organic Search",0
"1280","Opportunities for Near-Zero-Emissions Steel Production in the Great Lakes - RMI","(direct)","(none)","Direct",0
"1281","Opportunité de l’économie de l’énergie propre par l’État - RMI","cleantechnica.com","referral","Referral",0
"1282","Opportunités - IRM","(direct)","(none)","Direct",0
"1283","Opportunités d'approvisionnement ouvertes - RMI","(direct)","(none)","Direct",0
"1284","Organic Valley Goes 100% Renewable through Community Solar - RMI","t.co","referral","Organic Social",0
"1285","Organic Waste, an Untapped Solution: Waste Authorities in Nigeria Tackle Food Waste as a Climate Solution in Lagos - RMI","(direct)","(none)","Direct",0
"1286","Origins of the Nuclear Power Fiasco - RMI","google","organic","Organic Search",0
"1287","Os VE ultrapassarão dois terços das vendas globais de automóveis até 2030, colocando em risco quase metade da procura de petróleo, revela uma nova investigação - RMI","google","organic","Organic Search",0
"1288","Our Cities Are Getting Too Hot - RMI","google","organic","Organic Search",0
"1289","Our Climate as an Infrastructure Asset - RMI","(direct)","(none)","Direct",0
"1290","Our Driving Habits Must Be Part of the Climate Conversation - RMI","(direct)","(none)","Direct",0
"1291","Our Impact - RMI","(direct)","(none)","Direct",0
"1292","Our Internships - RMI","'newsletter'","'email'","Unassigned",0
"1293","Our Work - RMI","'newsletter'","'email'","Unassigned",0
"1294","Overextended: It’s Time to Rethink Subsidized Gas Line Extensions - RMI","(direct)","(none)","Direct",0
"1295","PEAKING: THE SERIES - RMI","(direct)","(none)","Direct",0
"1296","PIMs for Progress - RMI","google","organic","Organic Search",0
"1297","PUC Modernization Issue Briefs - RMI","(direct)","(none)","Direct",0
"1298","Pacific countries on the frontline of climate change get support to unlock climate financing for the future of the region - RMI","(direct)","(none)","Direct",0
"1299","Page not found - RMI","(direct)","(none)","Direct",0
"1300","Passive Cooling in a Tiny House - RMI","(direct)","(none)","Direct",0
"1301","Passive Performance - RMI","google","organic","Organic Search",0
"1302","Pathways to Equity and Savings for Low-Income Households - RMI","(direct)","(none)","Direct",0
"1303","Pathways to Zero - RMI","google","organic","Organic Search",0
"1304","Pathways to Zero: Tools for Carbon-Free Buildings, Districts, and Communities - RMI","(direct)","(none)","Direct",0
"1305","Paul Bodnar - RMI","google","organic","Organic Search",0
"1306","Paula Valencia - RMI","google","organic","Organic Search",0
"1307","Paying for Growth, Prospering from Development - RMI","google","organic","Organic Search",0
"1308","Peak Car Ownership Report - RMI","(direct)","(none)","Direct",0
"1309","Peak Fossil Fuel Demand for Electricity - RMI","(direct)","(none)","Direct",0
"1310","Peaking: A Theory of Rapid Transition - RMI","(direct)","(none)","Direct",0
"1311","Peaking: Why Fossil Fuel Demand Peaked in 2019 - RMI","google","organic","Organic Search",0
"1312","Peaking: Why Peaks Matter - RMI","(direct)","(none)","Direct",0
"1313","Pedal Power - RMI","google","organic","Organic Search",0
"1314","Peluang - RMI","google","organic","Organic Search",0
"1315","People - RMI","(direct)","(none)","Direct",0
"1316","People, Workforce, and the Clean Energy Transition - RMI","(direct)","(none)","Direct",0
"1317","Performance-Based Regulation: Getting Down to Business Model Reform in Colorado - RMI","google","organic","Organic Search",0
"1318","Perspectives from an RMI Summer Intern - RMI","google","organic","Organic Search",0
"1319","Pesquisa - RMI","br.search.yahoo.com","referral","Organic Search",0
"1320","Pesquisa e Análise - RMI","google","organic","Organic Search",0
"1321","Picturing a Clean Energy Future Just Got Easier - RMI","(direct)","(none)","Direct",0
"1322","Pilar Carvajo Lucena - RMI","(direct)","(none)","Direct",0
"1323","Pilot Study Proves Value of RMI’s Steel Industry Guidance - RMI","(direct)","(none)","Direct",0
"1324","Pioneering Study Measures Alignment of Brazilian Asset Manager Portfolios with Climate Scenarios - RMI","(direct)","(none)","Direct",0
"1325","Pipes or Wires? - RMI","google","organic","Organic Search",0
"1326","Pięć mitów dotyczących wodoru – obalone. - RMI","spark","email","Email",0
"1327","Plastics - RMI","(direct)","(none)","Direct",0
"1328","Pledges, Task Forces, and Professional Coalitions - RMI","google","organic","Organic Search",0
"1329","Plotting a Cleaner Course for Southeast Asia’s Energy and Economies - RMI","google","organic","Organic Search",0
"1330","Policies for Better Buildings - RMI","google","organic","Organic Search",0
"1331","Policy Examples - RMI","(direct)","(none)","Direct",0
"1332","Policy How-to Guides - RMI","(direct)","(none)","Direct",0
"1333","Policy Memo: Clean Hydrogen Abatement - RMI","google","organic","Organic Search",0
"1334","Policy Opportunities to Increase Material Circularity in the Buildings Industry - RMI","(direct)","(none)","Direct",0
"1335","Policy Priorities to Spur the Green Hydrogen Economy - RMI","google","organic","Organic Search",0
"1336","Population Attributable Fraction of Gas Stoves and Childhood Asthma in the United States - RMI","(direct)","(none)","Direct",0
"1337","Portfolio Energy Optimization - RMI","(direct)","(none)","Direct",0
"1338","Positive Disruption: Limiting Global Temperature Rise to Well Below 2 C° - RMI","(direct)","(none)","Direct",0
"1339","Power Planning to the People - RMI","(direct)","(none)","Direct",0
"1340","Power Sector Growth without Liquefied Natural Gas - RMI","google","organic","Organic Search",0
"1341","Power Sector Implementation of a Country Coal-to-Clean Transition - RMI","(direct)","(none)","Direct",0
"1342","Powering Electric Two- and Three-Wheelers with Rural Minigrids in Nigeria and India - RMI","(direct)","(none)","Direct",0
"1343","Powering Health across Africa through COVID-19 and a Changing Climate - RMI","google","organic","Organic Search",0
"1344","Powering Paradise - RMI","google","organic","Organic Search",0
"1345","Powering Progress: Batteries for Discoms - RMI","(direct)","(none)","Direct",0
"1346","Powering Rural Economic Development with Renewables - RMI","(direct)","(none)","Direct",0
"1347","Practice Guide: The Path to a Deep Energy Retrofit Using an Energy Savings Performance Contract - RMI","(direct)","(none)","Direct",0
"1348","Prefabricated Zero Energy Retrofit Technologies - RMI","google","organic","Organic Search",0
"1349","Preface to the Chinese Edition of Winning the Oil Endgame - RMI","spark","email","Email",0
"1350","Preliminary Strategy Summary Supporting Fort Collins' Climate Action Plan (CAP) - RMI","google","cpc","Paid Search",0
"1351","Preparing India for 5,500 Electric Buses - RMI","google","organic","Organic Search",0
"1352","Preparing and Protecting Local Communities and Economies in the Face of Climate Change - RMI","google","cpc","Paid Search",0
"1353","Presentation Archives - RMI","google","organic","Organic Search",0
"1354","Presentation of Achieving Low-Cost Solar PV: Industry Workshop Recommendations for Near-Term Balance-of-System Cost Reductions - RMI","ecosia.org","organic","Organic Search",0
"1355","Press Release: NITI Aayog and Rocky Mountain Institute Open a Grand Challenge to Select Mobility Lighthouse City - RMI","google","organic","Organic Search",0
"1356","Press Release: New Analysis Finds $9.2B Off-Grid Electrification Opportunity in Nigeria Presented at Africa Action Learning Event on Scaling Minigrids - RMI","google","organic","Organic Search",0
"1357","Press Release: RMI Case Study Showcases Successful Aggregation of Corporate Renewable Energy Demand - RMI","google","organic","Organic Search",0
"1358","Press Release: RMI and EVgo Report Reveals Utility Rate Structures to Support Fast Charging Growth - RMI","bing","organic","Organic Search",0
"1359","Press Release: Rocky Mountain Institute-Carbon War Room and Clinton Climate Initiative Facilitate Groundbreaking for Solar Farm in Saint Lucia - RMI","google","organic","Organic Search",0
"1360","Press Release: Trucking Efficiency Publishes Confidence Report on Two-Truck Platooning - RMI","bing","organic","Organic Search",0
"1361","Preventing Electric Truck Gridlock - RMI","(direct)","(none)","Direct",0
"1362","Principais estratégias para reduzir as emissões perigosas de metano de aterros sanitários - RMI","google","organic","Organic Search",0
"1363","Privacy Policy - RMI","(direct)","(none)","Direct",0
"1364","Private Finance Is Coming off the Sidelines on MDB Reform - RMI","(direct)","(none)","Direct",0
"1365","Private Finance is Coming off the Sidelines on MDB Reform - RMI","(direct)","(none)","Direct",0
"1366","Private Financial Institutions Are Stepping in to Decarbonize Steel - RMI","(direct)","(none)","Direct",0
"1367","Procuring Large-Scale Renewables through Aggregation: A Guide for Local Governments - RMI","(direct)","(none)","Direct",0
"1368","Productive Use - RMI","bing","organic","Organic Search",0
"1369","Productive Uses of Energy in Ethiopia - RMI","bing","organic","Organic Search",0
"1370","Profitable GHG Reduction Through Fuel Economy - RMI","google","organic","Organic Search",0
"1371","Project Assessment Worksheet: a Community Decision-Making Tool - RMI","google","organic","Organic Search",0
"1372","Project Get Ready: Menu for Community Plug-In Readiness - RMI","baaqmd.gov","referral","Referral",0
"1373","Prospects for China’s Next-Generation Clean & Low-Carbon Technologies - RMI","info.rmi.org","referral","Referral",0
"1374","Prospects for China’s Next-Generation Clean Low-Carbon Technologies - RMI","(direct)","(none)","Direct",0
"1375","Protecting and Empowering Communities during Disasters - RMI","ecosia.org","organic","Organic Search",0
"1376","Public Collaborative for Puerto Rico’s Energy Future - RMI","(direct)","(none)","Direct",0
"1377","Public Policies - RMI","camus.energy","referral","Referral",0
"1378","Pulling Back the Veil on EV Charging Station Costs - RMI","google","organic","Organic Search",0
"1379","Pulling the Levers on Existing Buildings: A Simple Method for Calibrating Hourly Energy Models - RMI","(direct)","(none)","Direct",0
"1380","Pune City ﻿Electric Vehicle ﻿Readiness Plan - RMI","google","organic","Organic Search",0
"1381","Purchase Trucking Efficiency Confidence Report: 6x2 Axles - RMI","(direct)","(none)","Direct",0
"1382","Purchase Trucking Efficiency Report: 2017 Annual Fleet Fuel Study - RMI","google","organic","Organic Search",0
"1383","Pursuing Zero-Carbon Steel in China - RMI","(direct)","(none)","Direct",0
"1384","Pushing the Limit: How Demand Flexibility Can Grow the Market for Renewable Energy - RMI","electrek.co","referral","Referral",0
"1385","Putem reduce utilizarea produselor petrochimice astăzi: clădiri - RMI","cleantechnica.com","referral","Referral",0
"1386","Putting Electric Logistics Vehicles to Work in Shenzhen - RMI","(direct)","(none)","Direct",0
"1387","Página no encontrada - RMI","(direct)","(none)","Direct",0
"1388","Quarterly Impact Report - Summer 2022 - RMI","google","organic","Organic Search",0
"1389","RAY Fellow Archives - RMI","google","organic","Organic Search",0
"1390","REA Launches New Program to Boost GDP, Accelerate Renewable Energy and Unlock Agricultural Productivity in Nigeria - RMI","google","organic","Organic Search",0
"1391","REALIZE - RMI","(direct)","(none)","Direct",0
"1392","REALIZE Request for Proposals - RMI","efficiencyvermont.com","referral","Referral",0
"1393","REALIZE-CA - RMI","(direct)","(none)","Direct",0
"1394","REALIZE-MA - RMI","(direct)","(none)","Direct",0
"1395","RMI","(direct)","(none)","Direct",0
"1396","RMI (RMI)","google","organic","Organic Search",0
"1397","RMI - RMI","bing","organic","Organic Search",0
"1398","RMI --- 雷米","(direct)","(none)","Direct",0
"1399","RMI Acquires the Clean Power Hub to Accelerate Clean Energy Workforce Development Across the Global South - RMI","bing","organic","Organic Search",0
"1400","RMI Analysis: With Smart Policy, Truck Electrification Is Within Reach - RMI","(direct)","(none)","Direct",0
"1401","RMI Announces Appointment of New Board Trustees, Chair, and Co-chair - RMI","(direct)","(none)","Direct",0
"1402","RMI Announces Charlotte Matthews and Sukanya Paciorek as Co-Managing Directors, Carbon-Free Buildings - RMI","(direct)","(none)","Direct",0
"1403","RMI Archives - RMI","(direct)","(none)","Direct",0
"1404","RMI Awarded $10 Million from The Bezos Earth Fund to Accelerate Decarbonization of Buildings and Industry - RMI","google","organic","Organic Search",0
"1405","RMI Awarded $8 Million to Accelerate Carbon-Free US Buildings - RMI","google","organic","Organic Search",0
"1406","RMI Builds Carbon Dioxide Removal Expertise Through New Initiative - RMI","(direct)","(none)","Direct",0
"1407","RMI Buys Renewable Energy Certificates in China’s Pilot Market - RMI","bing","organic","Organic Search",0
"1408","RMI Celebrates Passage of Historic Climate, Clean Energy Bill - RMI","google","organic","Organic Search",0
"1409","RMI Celebrates Senate Passage of Historic Climate, Clean Energy Bill - RMI","google","organic","Organic Search",0
"1410","RMI Expands “Virtual Power Plant Partnership” Adding Industry-Leading Businesses - RMI","bing","organic","Organic Search",0
"1411","RMI Is All over NYC Climate Week - RMI","google","organic","Organic Search",0
"1412","RMI Joins Global Battery Alliance to Advance a Circular, Responsible, and Just Battery Value Chain - RMI","bing","organic","Organic Search",0
"1413","RMI Joins Major Oil and Gas Companies to Support Methane Monitoring - RMI","google","organic","Organic Search",0
"1414","RMI LEGACY SOCIETY - RMI","(direct)","(none)","Direct",0
"1415","RMI Launches Business Renewables Center - RMI","google","organic","Organic Search",0
"1416","RMI Launches Canary Media, Independent Energy Journalism Powered by Former Greentech Media Staff and David Roberts - RMI","(direct)","(none)","Direct",0
"1417","RMI Launches New Climate Tech Accelerator - RMI","(direct)","(none)","Direct",0
"1418","RMI Launches its First Africa Fellowship Program Cohort in Nigeria to Advance Renewable Energy Projects - RMI","google","organic","Organic Search",0
"1419","RMI Launches “Virtual Power Plant Partnership” With Support from General Motors & Google Nest - RMI","(direct)","(none)","Direct",0
"1420","RMI Legal Requirements - RMI","(direct)","(none)","Direct",0
"1421","RMI Names New CEO To Gain Momentum on Clean Energy Transition - RMI","linkedin","social","Organic Social",0
"1422","RMI Newsletters - RMI","(direct)","(none)","Direct",0
"1423","RMI Partners with Energy Web Foundation to Build Sustainable Aviation Fuel Certificate Registry, as Part of Ongoing Decarbonization Work with the Sustainable Aviation Buyers Alliance - RMI","(direct)","(none)","Direct",0
"1424","RMI Playbook Provides Roadmap to a Cleaner, More Cost-Effective Grid - RMI","google","organic","Organic Search",0
"1425","RMI Relaunches to Transform Energy on a Global Scale, Building on Nearly 40 Years of Analysis, Insight, and Market Innovation - RMI","bing","organic","Organic Search",0
"1426","RMI Releases Guidance to Cut Steel Industry’s Climate Threat - RMI","aimingforzero.ogci.com","referral","Referral",0
"1427","RMI Releases Report on Responsible Mineral Supply Chains, Highlighting Need for Human Rights and Environmental Protection - RMI","(direct)","(none)","Direct",0
"1428","RMI Releases Report that Maps A Viable 2030 Renewable Hydrogen 100 GW Roadmap for China - RMI","bing","organic","Organic Search",0
"1429","RMI Rolls Out Innovative Community Electrification Model to Accelerate Energy Access and Unlock Rural Economic Growth in Nigeria - RMI","comms","email","Email",0
"1430","RMI Timeline - RMI","(direct)","(none)","Direct",0
"1431","RMI Visitor's Guide - RMI","duckduckgo","organic","Organic Search",0
"1432","RMI Welcomes Ije Ikoku Okeke as Managing Director, Catalytic Climate Capital - RMI","google","organic","Organic Search",0
"1433","RMI and AT&T: Working Together on a Portfolio Approach to Building Efficiency - RMI","(direct)","(none)","Direct",0
"1434","RMI and CWR’s Alliance: The Best Philanthropic ROI To Create Industry-Changing Impact - RMI","google","organic","Organic Search",0
"1435","RMI and InfraCorp Formalize Partnership with Landmark MoU to Scale Clean Energy Infrastructure in Nigeria - RMI","facebook","social","Organic Social",0
"1436","RMI and Microsoft Show How Corporations Can Accelerate a Cleaner Grid - RMI","bing","organic","Organic Search",0
"1437","RMI and USGBC Release Report to Cut Embodied Carbon in Buildings - RMI","(direct)","(none)","Direct",0
"1438","RMI and the Energy Transitions Commission Release Report Outlining Investment-Ready Options for US Steelmakers to Make the Leap to Green Steel Production - RMI","google","cpc","Paid Search",0
"1439","RMI at COP - RMI","google","organic","Organic Search",0
"1440","RMI at COP27 - RMI","(direct)","(none)","Direct",0
"1441","RMI at COP28 - RMI","google","organic","Organic Search",0
"1442","RMI at Climate Week - RMI","(direct)","(none)","Direct",0
"1443","RMI at Climate Week 2022 - RMI","google","organic","Organic Search",0
"1444","RMI at Climate Week 2023 - RMI","(direct)","(none)","Direct",0
"1445","RMI launches the first finance framework to support the decarbonization of aluminum production– the Sustainable Aluminum Finance Framework - RMI","bing","organic","Organic Search",0
"1446","RMI y USGBC publican informe para reducir el carbono incorporado en los edificios - RMI","(direct)","(none)","Direct",0
"1447","RMI à la Semaine du Climat 2023 - RMI","facebook","social","Organic Social",0
"1448","RMI 与 Energy Web Foundation 合作建立可持续航空燃油证书注册中心，作为与可持续航空买家联盟持续脱碳工作的一部分 - RMI","(direct)","(none)","Direct",0
"1449","RMI 在 2023 年气候周 - RMI","google","organic","Organic Search",0
"1450","RMI's Approach to Fossil Fuels - RMI","(direct)","(none)","Direct",0
"1451","RMI's Top Federal Energy Policy Goals - RMI","google","organic","Organic Search",0
"1452","RMI, CARILEC, BELCO, and Bermuda Host 20 Energy Leaders from 12 Countries Accelerating Renewable Energy across the Region - RMI","bing","organic","Organic Search",0
"1453","RMI, 남반구 전역에서 청정 에너지 인력 개발을 가속화하기 위해 클린 파워 허브 인수 - RMI","google","organic","Organic Search",0
"1454","RMI-യുടെ CEO - RMI-യെ കണ്ടുമുട്ടുക","google","organic","Organic Search",0
"1455","RMI...~https://rmi.org/#","(direct)","(none)","Direct",0
"1456","RMI’s Business Renewables Center launches renewable energy “Buyers Roadmap” software platform - RMI","bing","organic","Organic Search",0
"1457","RMI’s Catalytic Climate Capital Initiative: Unlocking Clean Energy Investment in the Global South through Private, Public and Philanthropic Partnerships. - RMI","(direct)","(none)","Direct",0
"1458","RMI’s Giving Societies - RMI","(direct)","(none)","Direct",0
"1459","RMI’s Guide to Federal Clean Energy Incentives - RMI","bing","organic","Organic Search",0
"1460","RMI’s Solutions Journal Online - RMI","google","organic","Organic Search",0
"1461","RMI’s US Federal Climate Policy Imperatives - RMI","coloradocollege.joinhandshake.com","referral","Referral",0
"1462","RMI、General Motors と Google Nest の支援を受けて「バーチャル パワー プラント パートナーシップ」を開始 - RMI","google","organic","Organic Search",0
"1463","RMI、ゼネラルモーターズとGoogle Nestの支援を受けて「バーチャルパワープラントパートナーシップ」を開始 - RMI","bing","organic","Organic Search",0
"1464","RMI创新中心 - RMI","cn.bing.com","referral","Organic Search",0
"1465","Race Against Climate Change Initiative with DS Virgin Racing - RMI","google","organic","Organic Search",0
"1466","Race To Zero Companies - RMI","google","organic","Organic Search",0
